text,emotion,emotion_label_1,emotion_label_2,combined_emotions_list
Awesome! I'm so glad you're feeling inspired 😃🎨 Can't wait to see what you create!,admiration,admiration,,['admiration']
OMG I am soooo down for that 😍 You're seriously the best planner ever! 💖 Can't wait to see how everything unfolds 🤩,admiration,admiration,,['admiration']
OMG that's amazing! You're so talented 😍 I can't believe you just did that!,admiration,admiration,,['admiration']
"OMG, I can't believe how amazing you looked at the concert last night! You totally slayed the stage and the crowd was going wild 😍 You're such an inspiration and I feel so lucky to know you 💖",admiration,admiration,,['admiration']
"OMG, I can't believe how amazing you were at that event yesterday! You totally stole the show with your speech and everyone was completely captivated by your presence. I'm so inspired by your confidence and poise, you absolutely crushed it! 😍💕",admiration,admiration,,['admiration']
"OMG, I can't believe how amazing you were at that event! Your speech was so inspiring and your passion really shone through. You absolutely crushed it! 😍",admiration,admiration,,['admiration']
"OMG, I can't believe you're actually going for it! Your courage and determination are truly inspiring 😍 I'm so proud of you and can't wait to see how everything unfolds 💪 Keep slaying, my friend!",admiration,admiration,,['admiration']
"OMG, that concert was lit! I'm still buzzing from the energy of the crowd and that incredible performance 😍🎉 You were amazing up there, truly captivating the audience with your voice and presence 💖",admiration,admiration,,['admiration']
"OMG, that was insane! I can't believe we actually did it. You're such an amazing climber and I'm so proud of you 😍",admiration,admiration,,['admiration']
"OMG, that's amazing! I'm so impressed by how well you handled that situation. You're such a rockstar!",admiration,admiration,,['admiration']
Sure thing! Here is a short informal text message that expresses admiration:,admiration,admiration,,['admiration']
"Woah, that was an amazing event! I can't believe how well you handled everything under pressure. You truly are a rockstar! 🤩",admiration,admiration,,['admiration']
"Woah, that was insane! I can't believe we actually did it. You're such an inspiration, I can't wait to see what you do next. 😍",admiration,admiration,,['admiration']
"Woah, that was insane! I can't believe you landed that jump so perfectly! 😍 Your skills never cease to amaze me 💪🏼.",admiration,admiration,,['admiration']
"Woah, that was insane! I can't believe you landed that trick! 🤯 You're such a badass skateboarder! 😍 I'm so inspired by your skills and determination. Keep shredding!",admiration,admiration,,['admiration']
"Woah, that's amazing news! I'm seriously impressed by their dedication and hard work. You go, [name]! 👏",admiration,admiration,,['admiration']
"Woah, that's amazing! You're so talented and dedicated to your craft. I'm really impressed 😍",admiration,admiration,,['admiration']
"Woah, that's incredible! I'm seriously in awe of their achievement. They're so talented and dedicated, it's inspiring to see them succeed at such a high level.",admiration,admiration,,['admiration']
"Woah, that's so cool! You're such an inspiration, always pushing boundaries and achieving great things. Keep shining bright and crushing it!",admiration,admiration,,['admiration']
"Woah, that's so cool! 😍 You're such an inspiration with your creativity and talent. Keep doing what you're doing, you're killing it!",admiration,admiration,,['admiration']
"Wow, I can't believe how much progress you've made on that project! You're really killing it 😍 Your dedication and hard work are truly inspiring 💪 Keep up the great work!",admiration,admiration,,['admiration']
"Wow, I can't believe how much progress you've made on that project! Your dedication and hard work are truly inspiring 😍 You're killing it!",admiration,admiration,,['admiration']
"Wow, I can't believe how much you've accomplished in such a short time! Your drive and determination are truly inspiring. Keep crushing it! 💪",admiration,admiration,,['admiration']
"Wow, I can't believe how talented you are! Your artwork is amazing and I feel so inspired by your creativity. You have such a unique style and it's truly impressive.",admiration,admiration,,['admiration']
"Wow, I can't believe how well you're handling this situation! You're truly inspiring and I'm so impressed with your strength and resilience.",admiration,admiration,,['admiration']
"Wow, I just watched that video of you playing guitar and I am seriously impressed! Your skills are insane and I can't believe how good you are. You're so talented and I'm jealous 😂.",admiration,admiration,,['admiration']
"Wow, I'm really impressed by your idea for the project! It's so innovative and exciting. Can't wait to see it come together.",admiration,admiration,,['admiration']
"Wow, I'm really impressed by your latest project! The attention to detail is incredible 😍 You're truly talented and dedicated to your craft. Keep up the amazing work!",admiration,admiration,,['admiration']
"Wow, I'm really impressed with your idea for the new project! It's so innovative and exciting. Can't wait to see it come together!",admiration,admiration,,['admiration']
